Resource Type,ID,URL
Portfolio,'53111889470005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14566.9780470371220
Portfolio,'53111888790005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11149.9780240809670
Portfolio,'53111889330005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11539.0071593233
Portfolio,'53111889390005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470140444
Portfolio,'53111888650005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/5864.0071383522
Portfolio,'53111888310005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12688.9780226071657
Portfolio,'53111888350005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10456.0122386620
Portfolio,'53111888550005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7103.0071406077
Portfolio,'53111889930005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10456.0750663200
Portfolio,'53111888030005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12207.9780470999097
Portfolio,'53111888530005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10066.0750681543
Portfolio,'53111888410005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13565.9780470055458
Portfolio,'53111888490005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12688.9780226772448
Portfolio,'53111888070005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12995.9780787996017
Portfolio,'53111888990005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13559.9780470994528
Portfolio,'53111889730005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14371.9781400829101
Portfolio,'53111889310005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470374436
Portfolio,'53111889350005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470378298
Portfolio,'53111888890005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11825.9780754690856
Portfolio,'53111888010005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14076.9781444313697
Portfolio,'53111889630005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471461135
Portfolio,'53111888830005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13562.9781444305876
Portfolio,'53111889430005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10123.063122601X
Portfolio,'53111888370005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13268.9780691138725
Portfolio,'53111889170005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471265405
Portfolio,'53111888390005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13573.9780470501221
Portfolio,'53111889530005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12630.9780470395981
Portfolio,'53111889050005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14565.9780470409909
Portfolio,'53111889230005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12921.9780471680192
Portfolio,'53111889070005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13559.9780470849392
Portfolio,'53111888190005159',http://proxy.lib.trentu.ca/login?url=http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12495.0071642935
